c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_types_pfk;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_pv_r;un_kW;2019;ep_capex;800;un_eur20p_kW;S1_PV_low_less_3kW;EuPD 2019
tec_pv_r;un_kW;2020;ep_capex;773.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2021;ep_capex;749.6;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2022;ep_capex;727;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2023;ep_capex;705.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2024;ep_capex;685.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2025;ep_capex;666.9;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2026;ep_capex;649;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2027;ep_capex;631.9;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2028;ep_capex;615.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2029;ep_capex;600.2;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2030;ep_capex;585.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2031;ep_capex;571.8;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2032;ep_capex;559.1;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2033;ep_capex;546.7;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2034;ep_capex;534.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2035;ep_capex;522.9;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2036;ep_capex;511.6;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
tec_pv_r;un_kW;2037;ep_capex;500.5;un_eur20p_kW;S1_PV_low_less_3kW;simlated according to global market scenario (AGORA future cost of PV 10% CAGR scenario) and learning rate of 15% (Kost 2018)
