c_technology_pfk;c_investment_options_units_pfk;c_economic_parameter_validity_time;c_economic_parameter_value;c_economic_parameter_unit_fk;c_economic_parameter_scenario_pk;c_economic_parameter_comment
tec_bat_li;un_kWh;2019;2200;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2020;2200;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2021;2090;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2022;1980;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2023;1870;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2024;1760;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2025;1650;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2026;1540;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2027;1430;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2028;1320;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2029;1210;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2030;1100;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2031;1073;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2032;1045;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2033;1018;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2034;990;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2035;963;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2036;935;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2037;908;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2038;880;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2039;853;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2040;825;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2041;804;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2042;784;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2043;763;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2044;743;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2045;722;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2046;701;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2047;681;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2048;660;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2049;639;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2050;619;un_eur20_p_kWh_el;S2_battery_high_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2019;1000;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2020;1000;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2021;950;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2022;900;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2023;850;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2024;800;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
tec_bat_li;un_kWh;2025;750;un_eur20_p_kWh_el;S2_battery_low_path_upto6kWh;Figgener.2020 (price 2020) reduction rate Tsiropoulos2018 interplotation beteen 2020,2030,2040,2050
