attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_CAPEX;12000;-0.370005486;resp_average;average_raw
att_CAPEX;15000;-0.950474942;resp_average;average_raw
att_CAPEX;6000;0.949810258;resp_average;average_raw
att_CAPEX;9000;0.370670169;resp_average;average_raw
att_envir;full_recyc;1.06992854;resp_average;average_raw
att_envir;no_recyc;-1.361049447;resp_average;average_raw
att_envir;partly_recyc;0.291120907;resp_average;average_raw
att_pp_IRR;10;0.387545789;resp_average;average_raw
att_pp_IRR;15;-0.163453366;resp_average;average_raw
att_pp_IRR;20;-1.0947823;resp_average;average_raw
att_pp_IRR;5;0.870689877;resp_average;average_raw
att_self_suf;0.4;-0.796948934;resp_average;average_raw
att_self_suf;0.6;0.067793649;resp_average;average_raw
att_self_suf;0.8;0.729155285;resp_average;average_raw
att_time;(1,7];0.571926017;resp_average;average_raw
att_time;(7,15];-0.103556871;resp_average;average_raw
att_time;<1;0.513404863;resp_average;average_raw
att_time;>15;-0.981774008;resp_average;average_raw
