attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_CAPEX;11000;-1.205464778;resp_average;average_raw
att_CAPEX;2000;0.845864785;resp_average;average_raw
att_CAPEX;5000;0.517367847;resp_average;average_raw
att_CAPEX;8000;-0.157767853;resp_average;average_raw
att_envir;full_recyc;0.987520817;resp_average;average_raw
att_envir;no_recyc;-1.395538227;resp_average;average_raw
att_envir;partly_recyc;0.408017409;resp_average;average_raw
att_pp_IRR;10;-0.563090361;resp_average;average_raw
att_pp_IRR;11;-1.358160791;resp_average;average_raw
att_pp_IRR;5;1.15646374;resp_average;average_raw
att_pp_IRR;8;0.764787412;resp_average;average_raw
att_self_suf;0.4;-0.884732617;resp_average;average_raw
att_self_suf;0.6;0.082703377;resp_average;average_raw
att_self_suf;0.8;0.80202924;resp_average;average_raw
att_time;(1,7];0.663329322;resp_average;average_raw
att_time;(7,15];-0.132343197;resp_average;average_raw
att_time;<1;0.729988678;resp_average;average_raw
att_time;>15;-1.260974803;resp_average;average_raw
