attribute;attribute_level;utility_value;respondend;value_resolution
att_none;none;1.44237;100014;individual_raw
att_none;none;3.64432;100024;individual_raw
att_none;none;2.5104;100041;individual_raw
att_none;none;5.16575;100042;individual_raw
att_none;none;4.86906;100074;individual_raw
att_none;none;4.58234;100101;individual_raw
att_none;none;4.3919;100117;individual_raw
att_none;none;2.7614;100128;individual_raw
att_none;none;3.23203;100146;individual_raw
att_none;none;3.23701;100184;individual_raw
att_none;none;4.90498;100220;individual_raw
att_none;none;3.9513;100237;individual_raw
att_none;none;3.17465;100251;individual_raw
att_none;none;7.20471;100260;individual_raw
att_none;none;-0.28261;100272;individual_raw
att_none;none;1.38486;100275;individual_raw
att_none;none;1.43916;100284;individual_raw
att_none;none;3.1068;100324;individual_raw
att_none;none;-2.332;100338;individual_raw
att_none;none;3.36205;100370;individual_raw
att_none;none;0.32937;100376;individual_raw
att_none;none;-2.39513;100390;individual_raw
att_none;none;-1.32794;100414;individual_raw
att_none;none;1.7611;100425;individual_raw
att_none;none;2.28636;100445;individual_raw
att_none;none;2.04294;100478;individual_raw
att_none;none;2.22475;100481;individual_raw
att_none;none;2.28146;100536;individual_raw
att_none;none;1.42167;100537;individual_raw
att_none;none;-1.7107;100549;individual_raw
att_none;none;1.32134;100573;individual_raw
att_none;none;0.66383;100584;individual_raw
att_none;none;3.00031;100602;individual_raw
att_none;none;2.23204;100644;individual_raw
att_none;none;5.00497;100655;individual_raw
att_none;none;1.11341;100657;individual_raw
att_none;none;2.10577;100670;individual_raw
att_none;none;-1.89378;100684;individual_raw
att_none;none;-1.14573;100693;individual_raw
att_none;none;2.2414;100739;individual_raw
att_none;none;1.80672;100745;individual_raw
att_none;none;-2.3892;100754;individual_raw
att_none;none;-0.12888;100768;individual_raw
att_none;none;2.3864;100774;individual_raw
att_none;none;5.03853;100784;individual_raw
att_none;none;-1.65108;100811;individual_raw
att_none;none;7.18829;100812;individual_raw
att_none;none;1.4043;100821;individual_raw
att_none;none;3.64775;100834;individual_raw
att_none;none;6.86378;100855;individual_raw
att_none;none;3.39705;100920;individual_raw
att_none;none;5.37921;100930;individual_raw
att_none;none;0.76555;100990;individual_raw
att_none;none;4.40874;101039;individual_raw
att_none;none;-1.31148;101096;individual_raw
att_none;none;4.17074;101103;individual_raw
att_none;none;3.25912;101125;individual_raw
att_none;none;6.18257;101178;individual_raw
att_none;none;5.74606;101183;individual_raw
att_none;none;-2.09849;101186;individual_raw
att_none;none;2.50552;101192;individual_raw
att_none;none;2.16628;101234;individual_raw
att_none;none;2.46011;101236;individual_raw
att_none;none;3.89799;101249;individual_raw
att_none;none;2.61341;101256;individual_raw
att_none;none;1.06305;101281;individual_raw
att_none;none;0.89078;101282;individual_raw
att_none;none;7.09227;101285;individual_raw
att_none;none;0.79143;101297;individual_raw
att_none;none;2.32937;101308;individual_raw
att_none;none;-1.67126;101317;individual_raw
att_none;none;3.21585;101325;individual_raw
att_none;none;-1.66286;101339;individual_raw
att_none;none;2.01766;101341;individual_raw
att_none;none;-1.63563;101346;individual_raw
att_none;none;3.6177;101376;individual_raw
att_none;none;6.07925;101395;individual_raw
att_none;none;2.38053;101406;individual_raw
att_none;none;-1.40088;101438;individual_raw
att_none;none;4.38755;101442;individual_raw
att_none;none;2.23583;101447;individual_raw
att_none;none;7.04791;101464;individual_raw
att_none;none;2.153;101472;individual_raw
att_none;none;7.51462;101483;individual_raw
att_none;none;0.83051;101490;individual_raw
att_none;none;2.62518;101492;individual_raw
att_none;none;7.27935;101526;individual_raw
att_none;none;3.26393;101637;individual_raw
att_none;none;1.11156;101639;individual_raw
att_none;none;2.67289;101741;individual_raw
att_none;none;2.91055;101743;individual_raw
att_none;none;2.92977;101772;individual_raw
att_none;none;2.63048;101808;individual_raw
att_none;none;-1.89884;101866;individual_raw
att_none;none;1.32945;101878;individual_raw
att_none;none;-0.97249;101879;individual_raw
att_none;none;-1.72427;101929;individual_raw
att_none;none;4.25578;101959;individual_raw
att_none;none;6.45496;101986;individual_raw
att_none;none;-1.83492;101990;individual_raw
att_none;none;-1.67349;101999;individual_raw
att_none;none;-2.69464;102099;individual_raw
att_none;none;3.03319;102116;individual_raw
att_none;none;-1.4283;102119;individual_raw
att_none;none;3.11053;102122;individual_raw
att_none;none;3.23702;102132;individual_raw
att_none;none;5.8134;102143;individual_raw
att_none;none;1.43866;102196;individual_raw
att_none;none;0.7803;102207;individual_raw
att_none;none;1.56775;102226;individual_raw
att_none;none;1.69293;102246;individual_raw
att_none;none;-1.269;102298;individual_raw
att_none;none;-0.69353;102310;individual_raw
att_none;none;-2.38545;102346;individual_raw
att_none;none;-2.49867;102439;individual_raw
att_none;none;2.45708;102484;individual_raw
att_none;none;-2.61533;102530;individual_raw
att_none;none;2.46035;102552;individual_raw
att_none;none;4.72005;102639;individual_raw
att_none;none;2.39279;102652;individual_raw
att_none;none;1.96338;102720;individual_raw
att_none;none;3.70642;102740;individual_raw
att_none;none;6.33308;102789;individual_raw
att_none;none;6.63465;102800;individual_raw
att_none;none;1.89869;102813;individual_raw
