attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_v_type;FCEV;-0.52007;100611;individual_raw
att_v_type;FCEV;0.91656;100007;individual_raw
att_v_type;FCEV;-0.23338;100498;individual_raw
att_v_type;FCEV;-0.8489;100117;individual_raw
att_v_type;FCEV;-0.18046;100530;individual_raw
att_v_type;FCEV;-0.50634;100380;individual_raw
att_v_type;FCEV;0.3261;100363;individual_raw
att_v_type;FCEV;0.49243;101460;individual_raw
att_v_type;FCEV;-0.21018;100382;individual_raw
att_v_type;FCEV;-0.06293;100256;individual_raw
att_v_type;FCEV;-0.19589;100096;individual_raw
att_v_type;FCEV;-0.46364;100247;individual_raw
att_v_type;FCEV;-0.93834;100481;individual_raw
att_v_type;FCEV;0.0138;101298;individual_raw
att_v_type;FCEV;0.37261;100963;individual_raw
att_v_type;FCEV;-0.37987;100006;individual_raw
att_v_type;FCEV;-0.15801;101293;individual_raw
att_v_type;FCEV;-0.01782;100052;individual_raw
att_v_type;FCEV;-0.14073;100931;individual_raw
att_v_type;FCEV;0.58096;101301;individual_raw
att_v_type;FCEV;-0.27893;100041;individual_raw
att_v_type;FCEV;-0.1432;100662;individual_raw
att_v_type;FCEV;0.81887;100148;individual_raw
att_v_type;FCEV;0.25511;101176;individual_raw
att_v_type;FCEV;-0.05329;101016;individual_raw
att_v_type;FCEV;0.72258;101362;individual_raw
att_v_type;FCEV;-0.05399;100160;individual_raw
att_v_type;FCEV;-0.94891;100560;individual_raw
att_v_type;FCEV;0.35596;100526;individual_raw
att_v_type;FCEV;-1.18498;100701;individual_raw
att_v_type;FCEV;-0.45943;100624;individual_raw
att_v_type;FCEV;-0.80045;100650;individual_raw
att_v_type;FCEV;-0.72818;100099;individual_raw
att_v_type;FCEV;1.16963;100054;individual_raw
att_v_type;FCEV;-0.5404;100245;individual_raw
att_v_type;FCEV;-0.31814;101179;individual_raw
att_v_type;FCEV;0.40901;100682;individual_raw
att_v_type;FCEV;-0.49839;101291;individual_raw
att_v_type;FCEV;-0.87773;101232;individual_raw
att_v_type;FCEV;0.13224;100331;individual_raw
att_v_type;FCEV;0.13459;100055;individual_raw
att_v_type;FCEV;0.05588;100621;individual_raw
att_v_type;FCEV;-0.20204;100470;individual_raw
att_v_type;FCEV;-0.47828;101204;individual_raw
att_v_type;FCEV;-0.59205;100171;individual_raw
att_v_type;FCEV;-0.53577;101070;individual_raw
att_v_type;FCEV;0.50532;100035;individual_raw
att_v_type;FCEV;0.2959;100809;individual_raw
att_v_type;FCEV;0.07353;100286;individual_raw
att_v_type;FCEV;-0.04489;100885;individual_raw
att_v_type;FCEV;-0.3005;100193;individual_raw
att_v_type;FCEV;-0.30569;100744;individual_raw
att_v_type;FCEV;-0.20984;100049;individual_raw
att_v_type;FCEV;-0.03578;100710;individual_raw
att_v_type;FCEV;0.09941;100600;individual_raw
att_v_type;FCEV;0.47197;100642;individual_raw
att_v_type;FCEV;-0.49102;101297;individual_raw
att_v_type;FCEV;-0.09413;100399;individual_raw
att_v_type;FCEV;-0.0528;100066;individual_raw
att_v_type;FCEV;-0.00468;101189;individual_raw
att_v_type;FCEV;0.30611;100114;individual_raw
att_v_type;FCEV;0.08634;100311;individual_raw
att_v_type;FCEV;-0.19258;100763;individual_raw
att_v_type;FCEV;0.2584;100265;individual_raw
att_v_type;FCEV;0.92327;100180;individual_raw
att_v_type;FCEV;0.22965;100663;individual_raw
att_v_type;FCEV;0.6419;100315;individual_raw
att_v_type;FCEV;0.39276;100601;individual_raw
att_v_type;FCEV;-0.34048;100341;individual_raw
att_v_type;FCEV;-0.43261;101381;individual_raw
att_v_type;FCEV;-1.10198;100012;individual_raw
att_v_type;FCEV;-0.35048;101085;individual_raw
att_v_type;FCEV;-0.02843;100217;individual_raw
att_v_type;FCEV;-0.27907;100111;individual_raw
att_v_type;FCEV;0.33344;100134;individual_raw
att_v_type;FCEV;1.01626;100547;individual_raw
att_v_type;FCEV;0.24774;100186;individual_raw
att_v_type;FCEV;0.08464;101196;individual_raw
att_v_type;FCEV;-0.26564;100505;individual_raw
att_v_type;FCEV;-0.18047;100316;individual_raw
att_v_type;FCEV;0.29791;101414;individual_raw
att_v_type;FCEV;-0.83963;101352;individual_raw
att_v_type;FCEV;-0.40327;101289;individual_raw
att_v_type;FCEV;0.19573;101270;individual_raw
att_v_type;FCEV;-0.5265;100679;individual_raw
att_v_type;FCEV;0.17562;100324;individual_raw
att_v_type;FCEV;0.14154;100785;individual_raw
att_v_type;FCEV;0.45148;101343;individual_raw
att_v_type;FCEV;-0.37507;100664;individual_raw
att_v_type;FCEV;-0.08065;100332;individual_raw
att_v_type;FCEV;0.56438;100129;individual_raw
