year;stock;alternative
2009;1452;tec_bev
2010;1588;tec_bev
2011;2307;tec_bev
2012;4541;tec_bev
2013;7114;tec_bev
2014;12156;tec_bev
2015;18948;tec_bev
2016;25502;tec_bev
2017;34022;tec_bev
2009;41318779;tec_cv
2010;41734193;tec_cv
2011;42281656;tec_cv
2012;42922141;tec_cv
2013;43421478;tec_cv
2014;43836993;tec_cv
2015;44382343;tec_cv
2016;45044025;tec_cv
2017;45758644;tec_cv
2009;0;tec_fcev
2010;0;tec_fcev
2011;0;tec_fcev
2012;0;tec_fcev
2013;0;tec_fcev
2014;0;tec_fcev
2015;0;tec_fcev
2016;0;tec_fcev
2017;0;tec_fcev
2018;0;tec_fcev
2018;53861;tec_bev
2018;46410016;tec_cv
