c_specific_consumption_construction_year;c_specific_consumption_technology;c_specific_consumption_value
2019;tec_fcev;17.5
2020;tec_fcev;17.5
2021;tec_fcev;17.5
2022;tec_fcev;17.5
2023;tec_fcev;17.5
2024;tec_fcev;17.5
2025;tec_fcev;17.5
2026;tec_fcev;17.5
2027;tec_fcev;17.5
2028;tec_fcev;17.5
2029;tec_fcev;17.5
2030;tec_fcev;17.5
2031;tec_fcev;17.5
2032;tec_fcev;17.5
2033;tec_fcev;17.5
2034;tec_fcev;17.5
2035;tec_fcev;17.5
2036;tec_fcev;17.5
2037;tec_fcev;17.5
2038;tec_fcev;17.5
2039;tec_fcev;17.5
2040;tec_fcev;17.5
2041;tec_fcev;17.5
2042;tec_fcev;17.5
2043;tec_fcev;17.5
2044;tec_fcev;17.5
2045;tec_fcev;17.5
2046;tec_fcev;17.5
2047;tec_fcev;17.5
2048;tec_fcev;17.5
2049;tec_fcev;17.5
2050;tec_fcev;17.5
2019;tec_bev;18.3
2020;tec_bev;18.14
2021;tec_bev;17.97
2022;tec_bev;17.81
2023;tec_bev;17.65
2024;tec_bev;17.48
2025;tec_bev;17.32
2026;tec_bev;17.15
2027;tec_bev;16.99
2028;tec_bev;16.83
2029;tec_bev;16.66
2030;tec_bev;15.3
2031;tec_bev;15.09
2032;tec_bev;14.88
2033;tec_bev;14.67
2034;tec_bev;14.46
2035;tec_bev;14.25
2036;tec_bev;14.04
2037;tec_bev;13.83
2038;tec_bev;13.62
2039;tec_bev;13.41
2040;tec_bev;13.2
2041;tec_bev;12.99
2042;tec_bev;12.78
2043;tec_bev;12.57
2044;tec_bev;12.36
2045;tec_bev;12.15
2046;tec_bev;11.94
2047;tec_bev;11.73
2048;tec_bev;11.52
2049;tec_bev;11.31
2050;tec_bev;13.0
