attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_v_type;FCEV;-0.191031291;resp_average;average_raw
att_v_type;CV;0.305686875;resp_average;average_raw
att_CAPEX;24000;1.743290091;resp_average;average_raw
att_CAPEX;40000;0.691963739;resp_average;average_raw
att_CAPEX;56000;-0.498999111;resp_average;average_raw
att_CAPEX;80000;-1.93625472;resp_average;average_raw
att_fuel_cost;2.4;0.837952128;resp_average;average_raw
att_fuel_cost;4.8;0.496815879;resp_average;average_raw
att_fuel_cost;8.64;-0.291743;resp_average;average_raw
att_v_type;BEV;-0.114655584;resp_average;average_raw
att_fuel_cost;12;-1.043025238;resp_average;average_raw
att_range;260;-1.466730222;resp_average;average_raw
att_range;520;-0.061604992;resp_average;average_raw
att_range;910;0.648126004;resp_average;average_raw
att_range;1300;0.880209211;resp_average;average_raw
att_infrast;strong_res;-0.801481351;resp_average;average_raw
att_infrast;with_res;0.006378869;resp_average;average_raw
att_infrast;no_res;0.795102482;resp_average;average_raw
att_w2w;no_co2;0.227223986;resp_average;average_raw
att_w2w;low_co2;0.370385763;resp_average;average_raw
att_w2w;medium_co2;0.006730133;resp_average;average_raw
att_w2w;high_co2;-0.604339882;resp_average;average_raw
att_Co2_tax;co2_tax;-0.258741717;resp_average;average_raw
att_Co2_tax;no_co2_tax;0.258741717;resp_average;average_raw
