c_specific_consumption_construction_year;c_specific_consumption_technology;c_specific_consumption_value
2019;tec_fcev;23.3
2020;tec_fcev;23.3
2021;tec_fcev;23.3
2022;tec_fcev;23.3
2023;tec_fcev;23.3
2024;tec_fcev;23.3
2025;tec_fcev;23.3
2026;tec_fcev;23.3
2027;tec_fcev;23.3
2028;tec_fcev;23.3
2029;tec_fcev;23.3
2030;tec_fcev;23.3
2031;tec_fcev;23.3
2032;tec_fcev;23.3
2033;tec_fcev;23.3
2034;tec_fcev;23.3
2035;tec_fcev;23.3
2036;tec_fcev;23.3
2037;tec_fcev;23.3
2038;tec_fcev;23.3
2039;tec_fcev;23.3
2040;tec_fcev;23.3
2041;tec_fcev;23.3
2042;tec_fcev;23.3
2043;tec_fcev;23.3
2044;tec_fcev;23.3
2045;tec_fcev;23.3
2046;tec_fcev;23.3
2047;tec_fcev;23.3
2048;tec_fcev;23.3
2049;tec_fcev;23.3
2050;tec_fcev;23.3
2019;tec_bev;22.3
2020;tec_bev;22.14
2021;tec_bev;21.97
2022;tec_bev;21.81
2023;tec_bev;21.65
2024;tec_bev;21.48
2025;tec_bev;21.32
2026;tec_bev;21.15
2027;tec_bev;20.99
2028;tec_bev;20.83
2029;tec_bev;20.66
2030;tec_bev;19.2
2031;tec_bev;18.99
2032;tec_bev;18.78
2033;tec_bev;18.57
2034;tec_bev;18.36
2035;tec_bev;18.15
2036;tec_bev;17.94
2037;tec_bev;17.73
2038;tec_bev;17.52
2039;tec_bev;17.31
2040;tec_bev;17.1
2041;tec_bev;16.89
2042;tec_bev;16.68
2043;tec_bev;16.47
2044;tec_bev;16.26
2045;tec_bev;16.05
2046;tec_bev;15.84
2047;tec_bev;15.63
2048;tec_bev;15.42
2049;tec_bev;15.21
2050;tec_bev;16.0
