attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_CAPEX;91000;-0.648897741;resp_average;average_raw
att_v_type;FCEV;-0.325857546;resp_average;average_raw
att_v_type;CV;0.564355039;resp_average;average_raw
att_CAPEX;39000;1.400064957;resp_average;average_raw
att_CAPEX;65000;0.605024127;resp_average;average_raw
att_v_type;BEV;-0.238497492;resp_average;average_raw
att_CAPEX;130000;-1.356191343;resp_average;average_raw
att_fuel_cost;2.65;0.94001942;resp_average;average_raw
att_fuel_cost;5.3;0.468292715;resp_average;average_raw
att_fuel_cost;9.54;-0.392238;resp_average;average_raw
att_fuel_cost;13.25;-1.016074281;resp_average;average_raw
att_range;240;-1.176076649;resp_average;average_raw
att_range;480;-0.245203311;resp_average;average_raw
att_range;840;0.518791768;resp_average;average_raw
att_range;1200;0.902488192;resp_average;average_raw
att_infrast;strong_res;-0.731115108;resp_average;average_raw
att_infrast;with_res;0.011961699;resp_average;average_raw
att_infrast;no_res;0.719153409;resp_average;average_raw
att_w2w;no_co2;0.374588377;resp_average;average_raw
att_w2w;low_co2;0.235047351;resp_average;average_raw
att_w2w;medium_co2;-0.091033202;resp_average;average_raw
att_w2w;high_co2;-0.518602525;resp_average;average_raw
att_Co2_tax;co2_tax;-0.215769307;resp_average;average_raw
att_Co2_tax;no_co2_tax;0.215769307;resp_average;average_raw
