year;tec_bev;tec_cv;tec_fcev;total_number_of_cars;share_tec_bev;share_tec_cv;share_tec_fcev;stock_next_year;outage_tec_bev;outage_tec_cv;outage_tec_fcev;sum_outages;sum_new_cars_next_year;new_cars_ny_tec_bev;new_cars_ny_tec_cv;new_cars_ny_tec_fcev
2009;90.66288;2579944.5607600003;0.0;2580035.2236400004;3.514017140901269e-05;0.999964859828591;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010;99.15472000000001;2605883.0109200003;0.0;2605982.1656400003;3.804888663758323e-05;0.9999619511133624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2011;144.04908;2640066.6006400003;0.0;2640210.64972;5.455969205157047e-05;0.9999454403079485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012;283.54004000000003;2680058.4840400005;0.0;2680342.0240800004;0.00010578502200566073;0.9998942149779944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;444.19816000000003;2711237.0863200002;0.0;2711681.2844800004;0.00016380913293251596;0.9998361908670674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;759.0206400000001;2737181.84292;0.0;2737940.86356;0.0002772231680026447;0.9997227768319974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;1183.1131200000002;2771233.4969200003;0.0;2772416.61004;0.00042674434849202924;0.999573255651508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;1592.34488;2812548.921;0.0;2814141.2658800003;0.0005658368680017432;0.9994341631319982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;2124.33368;2857169.73136;0.0;2859294.0650400002;0.0007429573984620157;0.9992570426015379;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;3338.358323173587;2876538.9278368265;0.0;2879877.28616;0.0011592015879346447;0.9988407984120654;0.0;2901204.47988;0.6638572986203186;91137.22831823616;0.0;91137.89217553478;112465.08589553465;25.386374125033857;112439.69952140967;0.0
2019;3363.0808400000005;2897841.39904;0.0;2901204.47988;0.0011592015879346447;0.9988407984120654;0.0;2886698.4574806;0.0;77344.0;0.0;77344.0;62837.977600600105;16231.412603022805;45516.86514701661;1089.6998505606896
2020;19594.493443022806;2866014.2641870165;1089.6998505606896;2886698.4574806;0.006787855999384199;0.9928346539833481;0.00037749001726759433;2872264.965193197;0.0;83922.0;0.0;83922.0;69488.50771259703;18803.966977082775;49422.90838801935;1261.6323474949036
2021;38398.46042010558;2831515.172575036;2351.332198055593;2872264.965193197;0.013368704101267614;0.9858126624416699;0.0008186334570624947;2857903.6403672313;0.0;90784.0;0.0;90784.0;76422.6751740342;21477.67757509229;53495.52264375097;1449.4749551909422
2022;59876.13799519787;2794226.695218787;3800.807153246535;2857903.6403672313;0.02095106957052757;0.9777190020513561;0.0013299283781163958;2843614.122165395;0.0;94909.0;0.0;94909.0;80619.48179816362;23433.953599507193;55602.2035564808;1583.324642175621
2023;83310.09159470507;2754919.898775268;5384.131795422156;2843614.122165395;0.029297256243496547;0.968809332216079;0.0018934115404245398;2829396.051554568;0.0;98001.0;0.0;98001.0;83782.92938917316;24661.724681885193;57404.58322434579;1716.6214829421713
2024;107971.81627659025;2714323.481999614;7100.753278364327;2829396.0515545686;0.038160729112938004;0.9593296352089945;0.0025096356780673836;2815249.0712967957;3.0;102927.0;0.0;102930.0;88783.01974222716;26275.60579282834;60615.01978378079;1892.3941656180311
2025;134244.4220694186;2672011.5017833947;8993.147443982358;2815249.0712967957;0.04768474073506442;0.9491208181280312;0.0031944411369043877;2801172.825940312;8.0;110189.0;0.0;110197.0;96120.75464351615;28642.635875695247;65344.64041033432;2133.4783574865783
2026;162879.05794511383;2627167.142193729;11126.625801468936;2801172.8259403114;0.058146736408681884;0.9378811324545206;0.003972131136797636;2787166.96181061;18.0;116323.0;0.0;116341.0;102335.13587029837;31614.331554360724;68395.17915639811;2325.6251595395447
2027;194475.38949947455;2579239.321350127;13452.25096100848;2787166.9618106103;0.06977529231802414;0.9253982114062487;0.004826496275727083;2773231.127001557;32.0;122558.0;0.0;122590.0;108654.16519094678;34588.84131561814;71533.10806796349;2532.215807365147
2028;229032.23081509268;2528214.4294180903;15984.466768373626;2773231.1270015566;0.08258678066358086;0.9116493770757648;0.005763842260654337;2759364.971366549;54.0;129250.0;0.0;129304.0;115437.84436499234;28088.92850840159;85299.79947421279;2049.1163823779566
2029;257067.15932349427;2484264.228892303;18033.583150751583;2759364.971366549;0.09316171002786348;0.9003028793476331;0.006535410624503443;2745568.1465097163;89.0;136474.0;0.0;136563.0;122766.17514316738;30748.325824714666;89789.30521385447;2228.5441045982334
