;wholesales_price_optimistic;wholesales_price_pessimistic;grid_under_1000MWh_optimistic;grid_full_over_1000MWh_optimistic;grid_energy_intensive_over_1000MWh_optimistic;re_electrification_under_1000MWh_optimistic;re_electrification_over_1000MWh_optimistic;re_electrification_energy_intensive_over_1000MWh_optimistic;grid_under_1000MWh_pessimistic;grid_full_over_1000MWh_pessimistic;grid_energy_intensive_over_1000MWh_pessimistic;re_electrification_under_1000MWh_pessimistic;re_electrification_over_1000MWh_pessimistic;re_electrification_energy_intensive_over_1000MWh_pessimistic;self-consumption_under_1000MWh_optimistic;self-consumption_under_1000MWh_pessimistic;self-consumption_full_over_1000MWh_optimistic;self-consumption_full_over_1000MWh_pessimistic;self-consumption_energy_intensive_over_1000MWh_optimistic;self-consumption_energy_intensive_over_1000MWh_pessimistic;grid_under_1000MWh_optimistic;grid_full_over_1000MWh_optimistic;grid_energy_intensive_over_1000MWh_optimistic;grid_under_1000MWh_realistic;grid_full_over_1000MWh_realistic;grid_energy_intensive_over_1000MWh_realistic;natural_gas_optimistic;natural_gas_pessimistic
# Unit; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ; [�ct/kWh] ;;;;;;; [�ct/kWh] ; [�ct/kWh] 
2018; Optimistic ; Pessimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; For 590 Mwel, consumptions > 100 GWh/ year ; Optimistic ; Pessimistic 
2019;2.98;3.10;14.49;14.16;8.10;4.10;3.77;3.75;14.68;14.35;8.29;4.25;3.92;3.90;6.54;10.54;6.54;10.54;6.54;10.54;12.40;12.07;6.01;12.59;12.26;6.20;2.77;2.77
2020;3.13;3.95;14.97;14.64;8.38;4.28;3.95;3.93;16.21;15.88;9.61;5.27;4.94;4.91;6.55;10.45;6.55;10.45;6.55;10.45;12.87;12.54;6.28;14.10;13.77;7.51;2.74;2.77
2021;3.39;3.42;15.85;15.52;8.91;4.60;4.27;4.25;15.90;15.57;8.97;4.64;4.31;4.29;6.68;10.51;6.68;10.51;6.68;10.51;13.68;13.35;6.74;13.73;13.40;6.80;2.75;2.82
2022;4.61;4.78;17.65;17.32;10.82;6.07;5.74;5.72;17.91;17.58;11.07;6.28;5.95;5.93;6.61;10.38;6.61;10.38;6.61;10.38;15.41;15.09;8.58;15.67;15.34;8.84;2.76;2.89
2023;5.36;5.38;18.72;18.40;12.00;6.98;6.65;6.62;18.75;18.42;12.03;7.00;6.67;6.65;6.52;10.25;6.52;10.25;6.52;10.25;16.42;16.09;9.70;16.45;16.12;9.73;2.77;2.96
2024;5.30;5.30;18.62;18.29;11.98;6.91;6.58;6.56;18.61;18.28;11.97;6.90;6.58;6.55;6.46;10.16;6.46;10.16;6.46;10.16;16.25;15.92;9.61;16.24;15.91;9.60;2.75;2.99
2025;5.37;5.36;18.62;18.29;12.13;6.99;6.66;6.64;18.61;18.28;12.12;6.98;6.66;6.63;6.37;10.03;6.37;10.03;6.37;10.03;16.18;15.85;9.69;16.17;15.84;9.68;2.76;3.07
2026;5.57;5.78;18.65;18.32;12.46;7.23;6.91;6.88;18.97;18.64;12.78;7.49;7.16;7.13;6.22;9.85;6.22;9.85;6.22;9.85;16.14;15.82;9.96;16.46;16.13;10.27;2.76;3.16
