;HRS_3.1;HRS_10;Injection station_transmission_<=10;injection_station_transmission;injection_station_distribution;Injection station_distribution_>10;gas_turbine_310;CHP_3.1
# Unit;[€];[€];[€];;for 310 mobility or industry?;;[€];[€]
2018;4000000.000 ;12000000.000 ;700000.000 ;900000.000 ;600000.000 ;700000.000 ;515652.500 ;2900000.000 
2019;4000000.000 ;12000000.000 ;685425.000 ;881260.160 ;587506.440 ;685425.000 ;500000.000 ;2900000.000 
2020;3516845.175 ;10550535.526 ;671219.750 ;862995.860 ;575330.240 ;671219.750 ;494626.900 ;2900000.000 
2021;3281267.554 ;9843802.663 ;657384.000 ;845206.640 ;563470.760 ;657384.000 ;484774.400 ;2900000.000 
2022;3123756.122 ;9371268.365 ;643917.750 ;827892.500 ;551928.000 ;643917.750 ;475362.100 ;2900000.000 
2023;3006806.691 ;9020420.073 ;630821.000 ;811053.440 ;540701.960 ;630821.000 ;466390.000 ;2900000.000 
2024;2914509.766 ;8743529.299 ;618093.750 ;794689.460 ;529792.640 ;618093.750 ;457858.100 ;2900000.000 
2025;2838687.686 ;8516063.059 ;605736.000 ;778800.560 ;519200.040 ;605736.000 ;449766.400 ;2900000.000 
2026;2774603.891 ;8323811.673 ;593747.750 ;763386.740 ;508924.160 ;593747.750 ;442114.900 ;2900000.000 
2027;2719279.882 ;8157839.645 ;582129.000 ;748448.000 ;498965.000 ;582129.000 ;434903.600 ;2900000.000 
2028;2670726.273 ;8012178.819 ;570879.750 ;733984.340 ;489322.560 ;570879.750 ;428132.500 ;2900000.000 
2029;2627551.455 ;7882654.366 ;560000.000 ;720000.000 ;480000.000 ;560000.000 ;419000.000 ;2900000.000 
2030;2588745.671 ;7766237.013 ;549489.750 ;706482.260 ;470987.840 ;549489.750 ;418194.000 ;2900000.000 
2031;2553554.113 ;7660662.338 ;539349.000 ;693443.840 ;462295.560 ;539349.000 ;413020.000 ;2900000.000 
2032;2521398.468 ;7564195.404 ;529577.750 ;680880.500 ;453920.000 ;529577.750 ;408302.000 ;2900000.000 
2033;2491826.347 ;7475479.041 ;520176.000 ;668792.240 ;445861.160 ;520176.000 ;404040.000 ;2900000.000 
2034;2464477.524 ;7393432.571 ;511143.750 ;657179.060 ;438119.040 ;511143.750 ;400234.000 ;2900000.000 
2035;2439060.726 ;7317182.178 ;502481.000 ;646040.960 ;430693.640 ;502481.000 ;396884.000 ;2900000.000 
2036;2415337.256 ;7246011.769 ;494187.750 ;635377.940 ;423584.960 ;494187.750 ;393990.000 ;2900000.000 
2037;2393109.181 ;7179327.544 ;486264.000 ;625190.000 ;416793.000 ;486264.000 ;391552.000 ;2900000.000 
2038;2372210.640 ;7116631.920 ;478709.750 ;615477.140 ;410317.760 ;478709.750 ;389570.000 ;2900000.000 
2039;2352501.339 ;7057504.018 ;471525.000 ;606239.360 ;404159.240 ;471525.000 ;389000.000 ;2900000.000 
2040;2333861.610 ;7001584.830 ;464709.750 ;597476.660 ;398317.440 ;464709.750 ;381142.000 ;2900000.000 
2041;2316188.595 ;6948565.785 ;458264.000 ;589189.040 ;392792.360 ;458264.000 ;380088.000 ;2900000.000 
2042;2299393.273 ;6898179.818 ;452187.750 ;581376.500 ;387584.000 ;452187.750 ;379474.000 ;2900000.000 
2043;2283398.110 ;6850194.330 ;446481.000 ;574039.040 ;382692.360 ;446481.000 ;379300.000 ;2900000.000 
2044;2268135.188 ;6804405.563 ;441143.750 ;567176.660 ;378117.440 ;441143.750 ;379566.000 ;2900000.000 
2045;2253544.691 ;6760634.072 ;436176.000 ;560789.360 ;373859.240 ;436176.000 ;380272.000 ;2900000.000 
2046;2239573.682 ;6718721.047 ;431577.750 ;554877.140 ;369917.760 ;431577.750 ;381418.000 ;2900000.000 
2047;2226175.101 ;6678525.304 ;427349.000 ;549440.000 ;366293.000 ;427349.000 ;383004.000 ;2900000.000 
2048;2213306.932 ;6639920.796 ;423489.750 ;544477.940 ;362984.960 ;423489.750 ;385030.000 ;2900000.000 
2049;2200931.515 ;6602794.545 ;420000.000 ;540000.000 ;360000.000 ;420000.000 ;385000.000 ;2900000.000 
2050;2189014.974 ;6567044.923 ;420000.000 ;540000.000 ;360000.000 ;420000.000 ;385000.000 ;2900000.000 
2051;2189014.974 ;6567044.923 ;420000.000 ;540000.000 ;360000.000 ;420000.000 ;385000.000 ;2900000.000 
2052;2189014.974 ;6567044.923 ;420000.000 ;540000.000 ;360000.000 ;420000.000 ;385000.000 ;2900000.000 
