;AEL_3.1_pessimistic;AEL_10_pessimistic;AEL_310_pessimistic;AEL_590_pessimistic;AEL_1000_pessimistic;PEM_3.1_pessimistic;PEM_10_pessimistic;PEM_310_pessimistic;PEM_590_pessimistic;PEM_1000_pessimistic;AEL_3.1_realistic;AEL_10_realistic;AEL_310_realistic;AEL_590_realistic;AEL_1000_realistic;PEM_3.1_realistic;PEM_10_realistic;PEM_310_realistic;PEM_590_realistic;PEM_1000_realistic;AEL_3.1_optimistic;AEL_10_optimistic;AEL_310_optimistic;AEL_590_optimistic;AEL_1000_optimistic;PEM_3.1_optimistic;PEM_10_optimistic;PEM_310_optimistic;PEM_590_optimistic;PEM_1000_optimistic
# Unit; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] ; [€/kWel] 
# Price level; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Pessimistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Realistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic ; Optimistic 
2019;1125.58;1025.03;688.30;609.47;589.78;1604.58;1327.70;970.08;831.43;724.68;1008.41;895.86;617.66;560.21;536.46;1386.81;1148.52;730.61;706.66;626.24;891.24;766.69;547.01;510.94;483.15;1169.05;969.33;491.14;581.89;527.80
2020;1040.58;924.82;636.67;560.12;548.30;1539.18;1217.56;933.47;821.51;714.96;935.48;818.21;578.58;525.16;506.12;1334.16;1050.82;699.51;686.56;598.97;830.38;711.60;520.50;490.20;463.93;1129.13;884.07;465.55;551.62;482.98
2021;1006.55;895.30;611.37;535.69;526.51;1508.71;1150.88;913.15;802.83;705.24;895.55;785.86;556.61;505.70;488.73;1304.43;993.08;683.30;666.27;584.52;784.56;676.43;501.84;475.71;450.95;1100.15;835.28;453.44;529.70;463.79
2022;983.09;874.93;594.03;519.00;511.58;1478.83;1103.57;893.28;784.58;695.52;868.34;763.73;541.52;492.35;476.77;1275.37;952.94;669.16;649.63;573.08;753.59;652.54;489.02;465.69;441.96;1071.92;802.31;445.04;514.68;450.64
2023;965.26;859.45;580.92;506.42;500.29;1449.55;1066.88;873.85;766.74;685.80;847.83;747.02;530.11;482.24;467.70;1246.98;922.26;656.24;635.03;563.25;730.41;634.59;479.29;458.06;435.11;1044.41;777.63;438.63;503.32;440.70
2024;950.94;847.01;570.43;496.36;491.25;1420.85;1036.90;854.83;749.31;676.08;831.47;733.65;520.96;474.14;460.42;1219.22;897.46;644.15;621.77;554.41;712.00;620.29;471.49;451.93;429.59;1017.60;758.03;433.46;494.23;432.73
2025;938.99;836.63;561.70;488.02;483.74;1392.71;1011.55;836.23;732.27;666.36;817.90;722.54;513.35;467.41;454.36;1192.10;876.70;632.69;609.47;546.24;696.80;608.45;465.00;446.80;424.98;991.49;741.85;429.14;486.67;426.11
2026;928.77;827.74;554.25;480.90;477.32;1365.13;989.59;818.03;715.62;656.64;806.33;713.06;506.85;461.65;449.17;1165.59;858.85;621.73;597.91;538.55;683.89;598.38;459.44;442.41;421.03;966.04;728.11;425.43;480.21;420.46
2027;919.84;819.97;547.76;474.71;471.73;1338.10;970.22;800.23;699.35;646.92;796.27;704.80;501.18;456.64;444.65;1139.67;843.21;611.21;586.97;531.23;672.71;589.63;454.60;438.57;417.57;941.25;716.20;422.19;474.59;415.54
2028;911.93;813.09;542.02;469.24;466.79;1311.61;952.89;782.82;683.45;637.20;787.39;697.50;496.16;452.20;440.65;1114.35;829.30;601.06;576.53;524.19;662.86;581.92;450.31;435.16;414.50;917.09;705.72;419.30;469.61;411.18
2029;904.83;806.91;536.88;464.35;462.36;1285.64;937.22;765.79;667.91;627.48;779.45;690.97;491.67;448.22;437.05;1089.59;816.79;591.25;566.53;517.38;654.07;575.03;446.46;432.10;411.75;893.55;696.36;416.72;465.16;407.28
2030;898.39;801.32;532.23;459.92;458.35;1260.18;936.47;733.25;665.78;617.76;772.27;685.06;494.66;445.65;434.86;1058.21;791.24;573.81;559.50;510.76;646.15;568.81;457.09;431.37;411.37;856.25;646.00;414.37;453.22;403.76
2031;897.11;796.20;527.99;455.89;454.70;1235.22;909.74;732.82;637.88;608.04;756.31;673.52;480.62;434.08;425.36;1041.75;768.78;572.52;547.67;504.29;615.51;550.85;433.25;412.27;396.01;848.27;627.81;412.21;457.45;400.54
2032;891.80;791.50;524.09;452.19;451.34;1210.77;897.56;716.88;623.37;598.32;750.14;668.45;477.13;430.89;422.49;1018.63;759.24;563.56;538.72;497.95;608.48;545.40;430.18;409.59;393.64;826.50;620.92;410.23;454.08;397.58
2033;886.90;787.14;520.48;448.77;448.24;1186.79;886.21;701.28;609.20;588.60;744.45;663.76;473.91;427.94;419.84;996.04;750.39;554.84;530.08;491.72;602.01;540.38;427.34;407.11;391.45;805.29;614.57;408.40;450.95;394.85
2034;882.33;783.09;517.14;445.60;445.36;1163.29;875.60;686.02;595.35;578.88;739.17;659.41;470.92;425.20;417.38;973.96;742.14;546.35;521.70;485.59;596.01;535.73;424.70;404.80;389.41;784.62;608.69;406.69;448.05;392.31
