;injection_pessimistic;injection_optimistic;biomethan;electricity_optimistic;electricity_pessimistic;industry_3.1_pessimistic;industry_3.1_optimistic;industry_10_pessimistic;industry_10_optimistic;Market price_high_w/o distribution;Market price_low_w/o distribution;Market price_high_w/ distribution;Market price_low_w/ distribution;mobility_pessimistic;mobility_optimistic;Mobility_LKW;Mobility_LKW;Mobility_PKW (low efficient improvements);Mobility_PKW (low efficient improvements);Mobility_LKW_EV;Mobility_LKW_EV;Mobility_LKW_EV;Mobility_PKW_EV;Mobility_PKW_EV;Mobility_PKW_EV;Mobility_LKW - minus 50% in 2050 - high;Mobility_LKW - minus 50% in 2050 - low;Wholesales price;Wholesales price
# Unit; [€ct/kWh] ; [€ct/kWh] ;; [€ct/kWh] ; [€ct/kWh] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ; [€/kg H2] ;;; [€ct/kWh] ; [€ct/kWh] 
2018; Optimistic ; Pessimistic ;; Pessimistic ; Optimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; Pessimistic ; Optimistic ; High ; Low ; Pessimistic ; Realistic ; Optimistic ; Pessimistic ; Realistic ; Optimistic ;;; Optimistic ; Pessimistic 
2019;2.55;2.55;10.00;5.95;6.20;3.58;3.58;3.76;3.76;3.58;3.58;3.76;3.76;8.00;8.00;8.00;8.00;8.00;8.00;4.29;4.26;4.23;4.04;;3.99;8.00;8.00;2.98;3.10
2020;2.55;2.53;10.00;6.26;7.89;3.90;3.89;4.09;4.08;3.90;3.89;4.09;4.08;8.03;8.02;7.95;7.93;8.03;8.02;4.79;4.57;4.36;4.75;;4.40;7.95;7.93;3.13;3.95
2021;2.61;2.54;9.90;6.78;6.85;3.80;3.78;3.99;3.97;3.80;3.78;3.99;3.97;8.11;8.08;7.78;7.73;8.11;8.08;4.62;4.61;4.60;4.76;;4.74;7.78;7.73;3.39;3.42
2022;2.67;2.54;9.81;9.22;9.56;3.92;3.88;4.11;4.07;3.92;3.88;4.11;4.07;8.18;8.12;7.80;7.72;8.18;8.12;5.35;5.31;5.26;5.55;;5.47;7.80;7.72;4.61;4.78
2023;2.74;2.55;9.71;10.72;10.75;4.04;3.98;4.24;4.18;4.04;3.98;4.24;4.18;8.25;8.16;7.83;7.72;8.25;8.16;5.68;5.68;5.67;5.99;;5.98;7.83;7.72;5.36;5.38
2024;2.78;2.53;9.61;10.61;10.59;4.15;4.08;4.36;4.28;4.15;4.08;4.36;4.28;8.32;8.20;7.89;7.74;8.32;8.20;5.67;5.67;5.67;6.08;;6.09;7.89;7.74;5.30;5.30
2025;2.86;2.54;9.52;10.74;10.72;4.27;4.18;4.49;4.39;4.27;4.18;4.49;4.39;8.39;8.24;7.93;7.74;8.39;8.24;5.71;5.71;5.72;6.24;;6.24;7.93;7.74;5.37;5.36
2026;2.94;2.55;9.42;11.14;11.56;4.40;4.28;4.62;4.49;4.40;4.28;4.62;4.49;8.47;8.28;8.03;7.80;8.47;8.28;5.91;5.85;5.80;6.56;;6.45;8.03;7.80;5.57;5.78
2027;3.03;2.56;9.32;9.90;12.22;4.52;4.38;4.75;4.60;4.52;4.38;4.75;4.60;8.55;8.32;8.12;7.84;8.55;8.32;6.03;5.72;5.41;6.83;;6.23;8.12;7.84;4.95;6.11
2028;3.13;2.57;9.23;12.07;12.63;4.65;4.48;4.88;4.70;4.65;4.48;4.88;4.70;8.64;8.36;8.21;7.88;8.64;8.36;6.12;6.04;5.96;7.03;;6.88;8.21;7.88;6.03;6.31
2029;3.24;2.58;9.13;11.28;13.01;4.77;4.58;5.01;4.81;4.77;4.58;5.01;4.81;8.73;8.40;8.32;7.93;8.73;8.40;6.18;5.95;5.71;7.22;;6.76;8.32;7.93;5.64;6.51
2030;3.35;2.59;9.03;11.18;13.83;4.97;4.74;5.22;4.98;4.97;4.74;5.22;4.98;8.90;8.52;8.13;7.69;8.90;8.52;6.32;5.96;5.60;8.00;;7.24;8.13;7.69;5.59;6.91
2031;3.53;2.60;8.94;10.77;15.03;5.05;4.78;5.31;5.01;5.05;4.78;5.31;5.01;8.95;8.48;8.23;7.70;8.95;8.48;6.50;5.91;5.33;8.37;;7.15;8.23;7.70;5.39;7.52
2032;3.67;2.61;8.84;11.44;15.17;5.19;4.88;5.45;5.12;5.19;4.88;5.45;5.12;9.05;8.53;8.35;7.74;9.05;8.53;6.38;5.87;5.36;8.51;;7.42;8.35;7.74;5.72;7.59
2033;3.82;2.62;8.74;11.68;15.95;5.34;4.97;5.60;5.22;5.34;4.97;5.60;5.22;9.17;8.57;8.48;7.79;9.17;8.57;6.53;5.95;5.36;8.82;;7.57;8.48;7.79;5.84;7.97
2034;3.98;2.63;8.65;9.48;16.98;5.48;5.07;5.75;5.33;5.48;5.07;5.75;5.33;9.28;8.61;8.61;7.83;9.28;8.61;6.81;5.79;4.76;9.22;;7.00;8.61;7.83;4.74;8.49
2035;4.16;2.64;8.55;11.71;17.96;5.63;5.17;5.91;5.43;5.63;5.17;5.91;5.43;9.41;8.65;8.75;7.88;9.41;8.65;7.09;6.23;5.38;9.60;;7.73;8.79;7.85;5.85;8.98
