attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_CAPEX;12000;0.33144;100007;individual_raw
att_CAPEX;12000;0.2998;100008;individual_raw
att_CAPEX;12000;0.06125;100013;individual_raw
att_CAPEX;12000;-0.28392;100018;individual_raw
att_CAPEX;12000;0.46401;100019;individual_raw
att_CAPEX;12000;-0.76168;100022;individual_raw
att_CAPEX;12000;-1.17246;100023;individual_raw
att_CAPEX;12000;-0.41919;100027;individual_raw
att_CAPEX;12000;0.41767;100028;individual_raw
att_CAPEX;12000;-0.36068;100030;individual_raw
att_CAPEX;12000;-0.82698;100033;individual_raw
att_CAPEX;12000;0.20141;100034;individual_raw
att_CAPEX;12000;-0.11865;100036;individual_raw
att_CAPEX;12000;-0.77723;100040;individual_raw
att_CAPEX;12000;0.21079;100046;individual_raw
att_CAPEX;12000;-0.02753;100048;individual_raw
att_CAPEX;12000;-0.56141;100049;individual_raw
att_CAPEX;12000;-0.53374;100054;individual_raw
att_CAPEX;12000;0.27227;100055;individual_raw
att_CAPEX;12000;-0.56345;100057;individual_raw
att_CAPEX;12000;-0.57334;100058;individual_raw
att_CAPEX;12000;-0.86951;100059;individual_raw
att_CAPEX;12000;-0.31582;100061;individual_raw
att_CAPEX;12000;-0.78211;100063;individual_raw
att_CAPEX;12000;-0.30257;100065;individual_raw
att_CAPEX;12000;-0.79904;100067;individual_raw
att_CAPEX;12000;0.05381;100068;individual_raw
att_CAPEX;12000;-0.25796;100070;individual_raw
att_CAPEX;12000;0.04888;100073;individual_raw
att_CAPEX;12000;0.66043;100075;individual_raw
att_CAPEX;12000;-1.51483;100077;individual_raw
att_CAPEX;12000;-0.31206;100082;individual_raw
att_CAPEX;12000;0.14155;100083;individual_raw
att_CAPEX;12000;0.07166;100086;individual_raw
att_CAPEX;12000;-0.5325;100091;individual_raw
att_CAPEX;12000;-0.15196;100095;individual_raw
att_CAPEX;12000;-0.78311;100096;individual_raw
att_CAPEX;12000;-0.46827;100100;individual_raw
att_CAPEX;12000;-0.51245;100105;individual_raw
att_CAPEX;12000;-1.26023;100107;individual_raw
att_CAPEX;12000;0.12442;100108;individual_raw
att_CAPEX;12000;-1.25641;100111;individual_raw
att_CAPEX;12000;-0.14386;100112;individual_raw
att_CAPEX;12000;-0.15149;100113;individual_raw
att_CAPEX;12000;-0.0246;100114;individual_raw
att_CAPEX;12000;-0.48776;100120;individual_raw
att_CAPEX;12000;-0.33396;100122;individual_raw
att_CAPEX;12000;-0.11991;100126;individual_raw
att_CAPEX;12000;-0.42029;100130;individual_raw
att_CAPEX;12000;-0.31096;100131;individual_raw
att_CAPEX;12000;0.17436;100133;individual_raw
att_CAPEX;12000;-0.16598;100139;individual_raw
att_CAPEX;12000;-0.33258;100140;individual_raw
att_CAPEX;12000;-1.05607;100142;individual_raw
att_CAPEX;12000;-1.28452;100143;individual_raw
att_CAPEX;12000;-0.78138;100145;individual_raw
att_CAPEX;12000;-1.14126;100148;individual_raw
att_CAPEX;12000;-0.34687;100149;individual_raw
att_CAPEX;12000;-0.6383;100159;individual_raw
att_CAPEX;12000;-1.35238;100164;individual_raw
att_CAPEX;12000;-0.28414;100165;individual_raw
att_CAPEX;12000;-0.24525;100170;individual_raw
att_CAPEX;12000;-0.29301;100177;individual_raw
att_CAPEX;12000;0.17745;100178;individual_raw
att_CAPEX;12000;-1.4936;100179;individual_raw
att_CAPEX;12000;-0.80893;100183;individual_raw
att_CAPEX;12000;-0.49478;100187;individual_raw
att_CAPEX;12000;-0.44417;100189;individual_raw
att_CAPEX;12000;-0.77932;100190;individual_raw
att_CAPEX;12000;-0.4217;100191;individual_raw
att_CAPEX;12000;-1.11447;100195;individual_raw
att_CAPEX;12000;-0.95158;100197;individual_raw
att_CAPEX;12000;0.00404;100198;individual_raw
att_CAPEX;12000;0.05448;100199;individual_raw
att_CAPEX;12000;0.06239;100200;individual_raw
att_CAPEX;12000;-0.01897;100203;individual_raw
att_CAPEX;12000;0.12527;100206;individual_raw
att_CAPEX;12000;-0.81314;100207;individual_raw
att_CAPEX;12000;-0.40904;100209;individual_raw
att_CAPEX;12000;0.11955;100211;individual_raw
att_CAPEX;12000;-0.92816;100213;individual_raw
att_CAPEX;12000;-0.28397;100216;individual_raw
att_CAPEX;12000;0.28682;100219;individual_raw
