attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_v_type;FCEV;-0.204667348;resp_average;average_raw
att_v_type;CV;0.072138788;resp_average;average_raw
att_CAPEX;15600;1.69783607;resp_average;average_raw
att_CAPEX;26000;0.732658309;resp_average;average_raw
att_CAPEX;36400;-0.492675808;resp_average;average_raw
att_range;800;0.891915896;resp_average;average_raw
att_CAPEX;52000;-1.937818571;resp_average;average_raw
att_fuel_cost;2;0.813541675;resp_average;average_raw
att_fuel_cost;4;0.474195979;resp_average;average_raw
att_fuel_cost;7.2;-0.353221;resp_average;average_raw
att_fuel_cost;10;-0.934516343;resp_average;average_raw
att_range;160;-1.313911791;resp_average;average_raw
att_range;320;-0.139127507;resp_average;average_raw
att_range;560;0.561123402;resp_average;average_raw
att_infrast;strong_res;-0.791598823;resp_average;average_raw
att_infrast;with_res;0.080949569;resp_average;average_raw
att_infrast;no_res;0.710649254;resp_average;average_raw
att_w2w;no_co2;0.342227117;resp_average;average_raw
att_w2w;low_co2;0.350126564;resp_average;average_raw
att_w2w;medium_co2;0.017020044;resp_average;average_raw
att_Co2_tax;co2_tax;-0.228203433;resp_average;average_raw
att_Co2_tax;no_co2_tax;0.228203433;resp_average;average_raw
att_w2w;high_co2;-0.709373725;resp_average;average_raw
att_v_type;BEV;0.13252856;resp_average;average_raw
