c_specific_emissions_construction_year;c_specific_emissions_value
1979;252
1980;247
1981;242
1982;238
1983;233
1984;228
1985;223
1986;218
1987;214
1988;209
1989;204
1990;199
1991;194
1992;189
1993;185
1994;180
1995;175
1996;174
1997;174
1998;173
1999;172
2000;172
2001;171
2002;170
2003;169
2004;169
2005;168
2006;167
2007;167
2008;166
2009;165
2010;165
2011;164
2012;164
2013;163
2014;163
2015;162
2016;161
2017;161
2018;160
2019;144
2020;141
2021;138
2022;135
2023;132
2024;129
2025;126
2026;123
2027;120
2028;118
2029;115
2030;113
2031;111
2032;109
2033;107
2034;105
2035;103
2036;101
2037;99
2038;98
2039;96
2040;95
2041;93
2042;92
2043;91
2044;90
2045;89
2046;88
2047;88
2048;87
2049;87
2050;86
