attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_v_type;FCEV;-0.08627;100040;individual_raw
att_v_type;FCEV;-0.17254;101249;individual_raw
att_v_type;FCEV;0.09899;100417;individual_raw
att_v_type;FCEV;-0.01287;101402;individual_raw
att_v_type;FCEV;0.70554;100656;individual_raw
att_v_type;FCEV;0.35839;100336;individual_raw
att_v_type;FCEV;-0.67182;100345;individual_raw
att_v_type;FCEV;-0.89652;100076;individual_raw
att_v_type;FCEV;0.61056;101285;individual_raw
att_v_type;FCEV;-0.05038;101419;individual_raw
att_v_type;FCEV;0.53443;100357;individual_raw
att_v_type;FCEV;-0.00796;100366;individual_raw
att_v_type;FCEV;0.37186;100568;individual_raw
att_v_type;FCEV;-0.10387;101231;individual_raw
att_v_type;FCEV;0.69007;101062;individual_raw
att_v_type;FCEV;0.20433;101258;individual_raw
att_v_type;FCEV;0.28065;100372;individual_raw
att_v_type;FCEV;-0.87368;100157;individual_raw
att_v_type;FCEV;0.34206;100220;individual_raw
att_v_type;FCEV;-0.69668;100215;individual_raw
att_v_type;FCEV;0.63543;100268;individual_raw
att_v_type;FCEV;-0.42945;101114;individual_raw
att_v_type;FCEV;1.49522;100659;individual_raw
att_v_type;FCEV;0.77382;101787;individual_raw
att_v_type;FCEV;-0.6547;103406;individual_raw
att_v_type;FCEV;0.27548;102066;individual_raw
att_v_type;FCEV;0.20021;101953;individual_raw
att_v_type;FCEV;0.84631;102374;individual_raw
att_v_type;FCEV;-0.27774;102993;individual_raw
att_v_type;FCEV;-0.36124;102352;individual_raw
att_v_type;FCEV;-1.2712;101937;individual_raw
att_v_type;FCEV;0.29576;102120;individual_raw
att_v_type;FCEV;-1.02241;102177;individual_raw
att_v_type;FCEV;-1.09546;102057;individual_raw
att_v_type;FCEV;1.01073;102953;individual_raw
att_v_type;FCEV;1.60265;101894;individual_raw
att_v_type;FCEV;-1.06188;101758;individual_raw
att_v_type;FCEV;0.82698;101873;individual_raw
att_v_type;FCEV;-0.28982;101594;individual_raw
att_v_type;FCEV;-0.67496;102662;individual_raw
att_v_type;FCEV;-0.3886;103412;individual_raw
att_v_type;FCEV;0.07321;101977;individual_raw
att_v_type;FCEV;-0.00628;102690;individual_raw
att_v_type;FCEV;0.29836;102822;individual_raw
att_v_type;FCEV;-0.67692;101746;individual_raw
att_v_type;FCEV;-1.05021;103277;individual_raw
att_v_type;FCEV;0.88334;102409;individual_raw
att_v_type;FCEV;-0.85918;102418;individual_raw
att_v_type;FCEV;0.01708;100252;individual_raw
att_v_type;FCEV;-0.80746;103705;individual_raw
att_v_type;FCEV;-0.88736;101705;individual_raw
att_v_type;FCEV;-0.37168;102472;individual_raw
att_v_type;FCEV;-0.84285;102251;individual_raw
att_v_type;FCEV;-0.34349;103100;individual_raw
att_v_type;FCEV;0.52162;103077;individual_raw
att_v_type;FCEV;0.22381;103502;individual_raw
att_v_type;FCEV;-0.6461;101757;individual_raw
att_v_type;FCEV;-0.45441;102823;individual_raw
att_v_type;FCEV;0.83476;101676;individual_raw
att_v_type;FCEV;-1.13423;102971;individual_raw
att_v_type;FCEV;-1.03944;101624;individual_raw
att_v_type;FCEV;-0.31527;102835;individual_raw
att_v_type;FCEV;0.87818;103583;individual_raw
att_v_type;FCEV;-0.57638;101643;individual_raw
att_v_type;FCEV;-0.35291;103035;individual_raw
att_v_type;FCEV;-1.05111;101681;individual_raw
att_v_type;FCEV;1.03719;102554;individual_raw
att_v_type;FCEV;-0.6242;101913;individual_raw
att_v_type;FCEV;-0.08577;100684;individual_raw
att_v_type;FCEV;0.93941;102631;individual_raw
att_v_type;FCEV;-0.96059;102265;individual_raw
att_v_type;FCEV;-0.94602;102020;individual_raw
att_v_type;FCEV;0.83745;103520;individual_raw
att_v_type;FCEV;-1.16216;102968;individual_raw
att_v_type;FCEV;0.86515;101834;individual_raw
att_v_type;FCEV;-0.24409;102477;individual_raw
att_v_type;FCEV;-0.16404;101611;individual_raw
att_v_type;FCEV;-0.02488;103234;individual_raw
att_v_type;FCEV;-0.17428;102621;individual_raw
att_v_type;FCEV;-0.56913;102540;individual_raw
att_v_type;FCEV;0.18907;101778;individual_raw
att_v_type;FCEV;0.52291;103236;individual_raw
att_v_type;FCEV;-0.40502;103075;individual_raw
att_v_type;FCEV;0.84917;102930;individual_raw
att_v_type;FCEV;0.07582;102039;individual_raw
att_v_type;FCEV;-0.49335;102708;individual_raw
att_v_type;FCEV;0.09585;103030;individual_raw
att_v_type;FCEV;-0.85451;103534;individual_raw
att_v_type;FCEV;-0.78858;101768;individual_raw
att_v_type;FCEV;-0.2858;102077;individual_raw
att_v_type;FCEV;-0.67558;105408;individual_raw
att_v_type;FCEV;-0.11654;107032;individual_raw
att_v_type;FCEV;-0.17632;105312;individual_raw
att_v_type;FCEV;-0.55717;105266;individual_raw
att_v_type;FCEV;-0.39674;107125;individual_raw
att_v_type;FCEV;-0.08805;107283;individual_raw
att_v_type;FCEV;0.22508;104595;individual_raw
att_v_type;FCEV;0.63881;106137;individual_raw
att_v_type;FCEV;0.57114;105363;individual_raw
att_v_type;FCEV;-0.95598;104741;individual_raw
att_v_type;FCEV;-0.81187;105112;individual_raw
att_v_type;FCEV;0.16953;107224;individual_raw
att_v_type;FCEV;-0.86696;104898;individual_raw
att_v_type;FCEV;-0.59722;104689;individual_raw
att_v_type;FCEV;0.58808;106463;individual_raw
att_v_type;FCEV;-0.86468;104913;individual_raw
att_v_type;FCEV;-0.34259;105267;individual_raw
att_v_type;FCEV;0.28576;107279;individual_raw
att_v_type;FCEV;-0.61872;104969;individual_raw
att_v_type;FCEV;0.16963;104792;individual_raw
att_v_type;FCEV;-0.6041;105487;individual_raw
att_v_type;FCEV;-0.84162;105198;individual_raw
att_v_type;FCEV;0.16266;104686;individual_raw
att_v_type;FCEV;-0.5525;106968;individual_raw
