c_specific_emissions_construction_year;c_specific_emissions_value
1979;288
1980;283
1981;277
1982;272
1983;266
1984;261
1985;255
1986;250
1987;244
1988;239
1989;233
1990;228
1991;222
1992;217
1993;211
1994;206
1995;200
1996;199
1997;198
1998;198
1999;197
2000;196
2001;195
2002;194
2003;194
2004;193
2005;192
2006;191
2007;190
2008;190
2009;189
2010;188
2011;188
2012;187
2013;186
2014;186
2015;185
2016;185
2017;184
2018;183
2019;158
2020;154
2021;151
2022;147
2023;144
2024;141
2025;137
2026;134
2027;132
2028;129
2029;126
2030;123
2031;121
2032;118
2033;116
2034;114
2035;112
2036;110
2037;108
2038;106
2039;104
2040;103
2041;101
2042;100
2043;99
2044;98
2045;96
2046;96
2047;95
2048;94
2049;93
2050;93
