alternative;year;attribute;attribute_level
tec_bev;2018;att_CAPEX;43568
tec_bev;2019;att_CAPEX;44421
tec_bev;2020;att_CAPEX;45231
tec_bev;2021;att_CAPEX;46004
tec_bev;2022;att_CAPEX;46203
tec_bev;2023;att_CAPEX;46413
tec_bev;2024;att_CAPEX;46632
tec_bev;2025;att_CAPEX;46771
tec_bev;2026;att_CAPEX;46290
tec_bev;2027;att_CAPEX;45851
tec_bev;2028;att_CAPEX;45449
tec_bev;2029;att_CAPEX;45078
tec_bev;2030;att_CAPEX;44735
tec_bev;2031;att_CAPEX;44416
tec_bev;2032;att_CAPEX;44118
tec_bev;2033;att_CAPEX;43840
tec_bev;2034;att_CAPEX;43578
tec_bev;2035;att_CAPEX;43332
tec_bev;2036;att_CAPEX;43101
tec_bev;2037;att_CAPEX;42882
tec_bev;2038;att_CAPEX;42674
tec_bev;2039;att_CAPEX;42477
tec_bev;2040;att_CAPEX;42290
tec_bev;2041;att_CAPEX;42111
tec_bev;2042;att_CAPEX;41941
tec_bev;2043;att_CAPEX;41779
tec_bev;2044;att_CAPEX;41623
tec_bev;2045;att_CAPEX;41474
tec_bev;2046;att_CAPEX;41332
tec_bev;2047;att_CAPEX;41194
tec_bev;2048;att_CAPEX;41063
tec_bev;2049;att_CAPEX;40936
tec_bev;2050;att_CAPEX;40814
tec_cv;2018;att_CAPEX;51393
tec_cv;2019;att_CAPEX;51567
tec_cv;2020;att_CAPEX;51741
tec_cv;2021;att_CAPEX;51915
tec_cv;2022;att_CAPEX;52090
tec_cv;2023;att_CAPEX;52264
tec_cv;2024;att_CAPEX;52438
tec_cv;2025;att_CAPEX;52612
tec_cv;2026;att_CAPEX;52786
tec_cv;2027;att_CAPEX;52960
tec_cv;2028;att_CAPEX;53135
tec_cv;2029;att_CAPEX;53309
tec_cv;2030;att_CAPEX;53483
tec_cv;2031;att_CAPEX;53657
tec_cv;2032;att_CAPEX;53831
tec_cv;2033;att_CAPEX;54005
tec_cv;2034;att_CAPEX;54180
tec_cv;2035;att_CAPEX;54354
tec_cv;2036;att_CAPEX;54528
tec_cv;2037;att_CAPEX;54702
tec_cv;2038;att_CAPEX;54876
tec_cv;2039;att_CAPEX;55050
tec_cv;2040;att_CAPEX;55225
tec_cv;2041;att_CAPEX;55399
tec_cv;2042;att_CAPEX;55573
tec_cv;2043;att_CAPEX;55747
tec_cv;2044;att_CAPEX;55921
tec_cv;2045;att_CAPEX;56096
tec_cv;2046;att_CAPEX;56270
tec_cv;2047;att_CAPEX;56444
tec_cv;2048;att_CAPEX;56618
tec_cv;2049;att_CAPEX;56792
tec_cv;2050;att_CAPEX;56966
tec_fcev;2018;att_CAPEX;105603
tec_fcev;2019;att_CAPEX;104137
tec_fcev;2020;att_CAPEX;102670
tec_fcev;2021;att_CAPEX;101203
tec_fcev;2022;att_CAPEX;99736
tec_fcev;2023;att_CAPEX;98270
tec_fcev;2024;att_CAPEX;96803
tec_fcev;2025;att_CAPEX;95336
tec_fcev;2026;att_CAPEX;93870
tec_fcev;2027;att_CAPEX;92403
tec_fcev;2028;att_CAPEX;90936
tec_fcev;2029;att_CAPEX;89469
tec_fcev;2030;att_CAPEX;88003
tec_fcev;2031;att_CAPEX;86536
tec_fcev;2032;att_CAPEX;85069
tec_fcev;2033;att_CAPEX;83603
tec_fcev;2034;att_CAPEX;82136
tec_fcev;2035;att_CAPEX;80669
tec_fcev;2036;att_CAPEX;79202
tec_fcev;2037;att_CAPEX;77736
tec_fcev;2038;att_CAPEX;76269
tec_fcev;2039;att_CAPEX;74802
tec_fcev;2040;att_CAPEX;73336
tec_fcev;2041;att_CAPEX;71869
tec_fcev;2042;att_CAPEX;70402
tec_fcev;2043;att_CAPEX;68935
tec_fcev;2044;att_CAPEX;67469
tec_fcev;2045;att_CAPEX;66002
tec_fcev;2046;att_CAPEX;64535
tec_fcev;2047;att_CAPEX;63069
tec_fcev;2048;att_CAPEX;61602
tec_fcev;2049;att_CAPEX;60135
tec_fcev;2050;att_CAPEX;58668
tec_cv;2018;att_Co2_tax;no_co2_tax
tec_cv;2019;att_Co2_tax;no_co2_tax
tec_cv;2020;att_Co2_tax;co2_tax
tec_cv;2021;att_Co2_tax;co2_tax
tec_cv;2022;att_Co2_tax;co2_tax
tec_cv;2023;att_Co2_tax;co2_tax
tec_cv;2024;att_Co2_tax;co2_tax
tec_cv;2025;att_Co2_tax;co2_tax
tec_cv;2026;att_Co2_tax;co2_tax
tec_cv;2027;att_Co2_tax;co2_tax
tec_cv;2028;att_Co2_tax;co2_tax
tec_cv;2029;att_Co2_tax;co2_tax
tec_cv;2030;att_Co2_tax;co2_tax
tec_cv;2031;att_Co2_tax;co2_tax
tec_cv;2032;att_Co2_tax;co2_tax
tec_cv;2033;att_Co2_tax;co2_tax
tec_cv;2034;att_Co2_tax;co2_tax
