alternative;year;attribute;attribute_level
tec_bev;2018;att_CAPEX;51470
tec_bev;2019;att_CAPEX;52477
tec_bev;2020;att_CAPEX;53434
tec_bev;2021;att_CAPEX;54348
tec_bev;2022;att_CAPEX;54583
tec_bev;2023;att_CAPEX;54831
tec_bev;2024;att_CAPEX;55090
tec_bev;2025;att_CAPEX;55254
tec_bev;2026;att_CAPEX;54686
tec_bev;2027;att_CAPEX;54168
tec_bev;2028;att_CAPEX;53692
tec_bev;2029;att_CAPEX;53254
tec_bev;2030;att_CAPEX;52848
tec_bev;2031;att_CAPEX;52471
tec_bev;2032;att_CAPEX;52120
tec_bev;2033;att_CAPEX;51791
tec_bev;2034;att_CAPEX;51482
tec_bev;2035;att_CAPEX;51192
tec_bev;2036;att_CAPEX;50918
tec_bev;2037;att_CAPEX;50659
tec_bev;2038;att_CAPEX;50414
tec_bev;2039;att_CAPEX;50181
tec_bev;2040;att_CAPEX;49960
tec_bev;2041;att_CAPEX;49749
tec_bev;2042;att_CAPEX;49548
tec_bev;2043;att_CAPEX;49356
tec_bev;2044;att_CAPEX;49173
tec_bev;2045;att_CAPEX;48997
tec_bev;2046;att_CAPEX;48828
tec_bev;2047;att_CAPEX;48666
tec_bev;2048;att_CAPEX;48510
tec_bev;2049;att_CAPEX;48361
tec_bev;2050;att_CAPEX;48216
tec_cv;2018;att_CAPEX;48991
tec_cv;2019;att_CAPEX;49152
tec_cv;2020;att_CAPEX;49312
tec_cv;2021;att_CAPEX;49473
tec_cv;2022;att_CAPEX;49634
tec_cv;2023;att_CAPEX;49795
tec_cv;2024;att_CAPEX;49955
tec_cv;2025;att_CAPEX;50116
tec_cv;2026;att_CAPEX;50277
tec_cv;2027;att_CAPEX;50437
tec_cv;2028;att_CAPEX;50598
tec_cv;2029;att_CAPEX;50759
tec_cv;2030;att_CAPEX;50920
tec_cv;2031;att_CAPEX;51080
tec_cv;2032;att_CAPEX;51241
tec_cv;2033;att_CAPEX;51402
tec_cv;2034;att_CAPEX;51563
tec_cv;2035;att_CAPEX;51723
tec_cv;2036;att_CAPEX;51884
tec_cv;2037;att_CAPEX;52045
tec_cv;2038;att_CAPEX;52205
tec_cv;2039;att_CAPEX;52366
tec_cv;2040;att_CAPEX;52527
tec_cv;2041;att_CAPEX;52688
tec_cv;2042;att_CAPEX;52848
tec_cv;2043;att_CAPEX;53009
tec_cv;2044;att_CAPEX;53170
tec_cv;2045;att_CAPEX;53330
tec_cv;2046;att_CAPEX;53491
tec_cv;2047;att_CAPEX;53652
tec_cv;2048;att_CAPEX;53813
tec_cv;2049;att_CAPEX;53973
tec_cv;2050;att_CAPEX;54134
tec_fcev;2018;att_CAPEX;116260
tec_fcev;2019;att_CAPEX;114646
tec_fcev;2020;att_CAPEX;113031
tec_fcev;2021;att_CAPEX;111416
tec_fcev;2022;att_CAPEX;109802
tec_fcev;2023;att_CAPEX;108187
tec_fcev;2024;att_CAPEX;106572
tec_fcev;2025;att_CAPEX;104957
tec_fcev;2026;att_CAPEX;103343
tec_fcev;2027;att_CAPEX;101728
tec_fcev;2028;att_CAPEX;100113
tec_fcev;2029;att_CAPEX;98498
tec_fcev;2030;att_CAPEX;96884
tec_fcev;2031;att_CAPEX;95269
tec_fcev;2032;att_CAPEX;93654
tec_fcev;2033;att_CAPEX;92040
tec_fcev;2034;att_CAPEX;90425
tec_fcev;2035;att_CAPEX;88810
tec_fcev;2036;att_CAPEX;87195
tec_fcev;2037;att_CAPEX;85581
tec_fcev;2038;att_CAPEX;83966
tec_fcev;2039;att_CAPEX;82351
tec_fcev;2040;att_CAPEX;80736
tec_fcev;2041;att_CAPEX;79122
tec_fcev;2042;att_CAPEX;77507
tec_fcev;2043;att_CAPEX;75892
tec_fcev;2044;att_CAPEX;74278
tec_fcev;2045;att_CAPEX;72663
tec_fcev;2046;att_CAPEX;71048
tec_fcev;2047;att_CAPEX;69433
tec_fcev;2048;att_CAPEX;67819
tec_fcev;2049;att_CAPEX;66204
tec_fcev;2050;att_CAPEX;64589
tec_cv;2018;att_Co2_tax;no_co2_tax
tec_cv;2019;att_Co2_tax;no_co2_tax
tec_cv;2020;att_Co2_tax;no_co2_tax
tec_cv;2021;att_Co2_tax;no_co2_tax
tec_cv;2022;att_Co2_tax;no_co2_tax
tec_cv;2023;att_Co2_tax;no_co2_tax
tec_cv;2024;att_Co2_tax;no_co2_tax
tec_cv;2025;att_Co2_tax;no_co2_tax
tec_cv;2026;att_Co2_tax;no_co2_tax
tec_cv;2027;att_Co2_tax;no_co2_tax
tec_cv;2028;att_Co2_tax;no_co2_tax
tec_cv;2029;att_Co2_tax;no_co2_tax
tec_cv;2030;att_Co2_tax;no_co2_tax
tec_cv;2031;att_Co2_tax;no_co2_tax
tec_cv;2032;att_Co2_tax;no_co2_tax
tec_cv;2033;att_Co2_tax;no_co2_tax
tec_cv;2034;att_Co2_tax;no_co2_tax
tec_cv;2035;att_Co2_tax;no_co2_tax
tec_cv;2036;att_Co2_tax;no_co2_tax
tec_cv;2037;att_Co2_tax;no_co2_tax
tec_cv;2038;att_Co2_tax;no_co2_tax
tec_cv;2039;att_Co2_tax;no_co2_tax
tec_cv;2040;att_Co2_tax;no_co2_tax
tec_cv;2041;att_Co2_tax;no_co2_tax
tec_cv;2042;att_Co2_tax;no_co2_tax
tec_cv;2043;att_Co2_tax;no_co2_tax
tec_cv;2044;att_Co2_tax;no_co2_tax
tec_cv;2045;att_Co2_tax;no_co2_tax
tec_cv;2046;att_Co2_tax;no_co2_tax
tec_cv;2047;att_Co2_tax;no_co2_tax
tec_cv;2048;att_Co2_tax;no_co2_tax
tec_cv;2049;att_Co2_tax;no_co2_tax
tec_cv;2050;att_Co2_tax;no_co2_tax
tec_bev;2018;att_fuel_cost;4.72
tec_bev;2019;att_fuel_cost;4.75
tec_bev;2020;att_fuel_cost;4.78
tec_bev;2021;att_fuel_cost;4.78
tec_bev;2022;att_fuel_cost;4.78
tec_bev;2023;att_fuel_cost;4.78
tec_bev;2024;att_fuel_cost;4.79
tec_bev;2025;att_fuel_cost;4.79
tec_bev;2026;att_fuel_cost;4.68
tec_bev;2027;att_fuel_cost;4.58
tec_bev;2028;att_fuel_cost;4.48
tec_bev;2029;att_fuel_cost;4.38
tec_bev;2030;att_fuel_cost;4.28
tec_bev;2031;att_fuel_cost;4.22
tec_bev;2032;att_fuel_cost;4.17
tec_bev;2033;att_fuel_cost;4.12
tec_bev;2034;att_fuel_cost;4.07
tec_bev;2035;att_fuel_cost;4.02
tec_bev;2036;att_fuel_cost;4
tec_bev;2037;att_fuel_cost;3.98
tec_bev;2038;att_fuel_cost;3.95
tec_bev;2039;att_fuel_cost;3.93
tec_bev;2040;att_fuel_cost;3.91
tec_bev;2041;att_fuel_cost;3.88
tec_bev;2042;att_fuel_cost;3.85
tec_bev;2043;att_fuel_cost;3.82
tec_bev;2044;att_fuel_cost;3.79
tec_bev;2045;att_fuel_cost;3.77
tec_bev;2046;att_fuel_cost;3.74
tec_bev;2047;att_fuel_cost;3.71
tec_bev;2048;att_fuel_cost;3.68
tec_bev;2049;att_fuel_cost;3.65
tec_bev;2050;att_fuel_cost;3.62
tec_cv;2018;att_fuel_cost;10.63
tec_cv;2019;att_fuel_cost;10.5
tec_cv;2020;att_fuel_cost;10.37
tec_cv;2021;att_fuel_cost;10.25
tec_cv;2022;att_fuel_cost;10.12
tec_cv;2023;att_fuel_cost;10.01
tec_cv;2024;att_fuel_cost;9.89
tec_cv;2025;att_fuel_cost;9.78
tec_cv;2026;att_fuel_cost;9.67
tec_cv;2027;att_fuel_cost;9.57
