attribute;attribute_level;partial_utility_value;respondend;value_resolution
att_CAPEX;39000;0.58374;106715;individual_raw
att_CAPEX;130000;-0.38001;106715;individual_raw
att_CAPEX;130000;-1.81012;108476;individual_raw
att_fuel_cost;2.65;-0.25081;105860;individual_raw
att_fuel_cost;5.3;0.20981;105845;individual_raw
att_fuel_cost;5.3;0.42773;110581;individual_raw
att_fuel_cost;9.54;-0.53603;102607;individual_raw
att_fuel_cost;9.54;0.02558;106565;individual_raw
att_fuel_cost;9.54;-0.77038;105923;individual_raw
att_fuel_cost;9.54;-0.17025;112905;individual_raw
att_infrast;no_res;0.61523;105039;individual_raw
att_infrast;no_res;0.92525;109333;individual_raw
att_w2w;no_co2;0.01789;100319;individual_raw
att_v_type;FCEV;-0.27747;101283;individual_raw
att_v_type;FCEV;0.48478;100170;individual_raw
att_v_type;FCEV;-1.40976;100011;individual_raw
att_v_type;FCEV;0.23361;100319;individual_raw
att_v_type;FCEV;-0.50643;101509;individual_raw
att_v_type;FCEV;-1.05434;100644;individual_raw
att_v_type;FCEV;0.5123;100051;individual_raw
att_v_type;FCEV;-0.30738;100988;individual_raw
att_v_type;FCEV;-0.42003;100711;individual_raw
att_v_type;FCEV;-0.75083;101713;individual_raw
att_v_type;FCEV;0.85226;103184;individual_raw
att_v_type;FCEV;-0.28697;101943;individual_raw
att_v_type;FCEV;-1.44865;102552;individual_raw
att_v_type;FCEV;-0.94268;102661;individual_raw
att_v_type;FCEV;-0.54282;103698;individual_raw
att_v_type;FCEV;0.40559;102092;individual_raw
att_v_type;FCEV;-0.52728;103696;individual_raw
att_v_type;FCEV;-1.39125;100059;individual_raw
att_v_type;FCEV;0.09323;103670;individual_raw
att_v_type;FCEV;-0.45535;103272;individual_raw
att_v_type;FCEV;-1.65734;102390;individual_raw
att_v_type;FCEV;-0.57786;102605;individual_raw
att_v_type;FCEV;-0.34239;102618;individual_raw
att_v_type;FCEV;0.02571;103713;individual_raw
att_v_type;FCEV;1.65087;102007;individual_raw
att_v_type;FCEV;-0.52518;103048;individual_raw
